Trabalho, Avaliador 1, Avaliador 2, Avaliador 3, Avaliador 4, Similaridade 1, Similaridade 2, Similaridade 3, Similaridade 4
0,solange fatima geraldo da costa,greicy kelly gouveia dias bittencourt,altamira pereira da silva reichert,greicy kelly gouveia dias bittencourt,0.05,0.49,0.37,0.49
1,maria do socorro de franca silva,rafael de almeida travassos,islania giselia albuquerque goncalves,maria do socorro de franca silva,0.67,0.29,0.55,0.67
2,anna alice figueiredo de almeida,leonardo wanderley lopes,marine raquel diniz da rosa,giorvan anderson dos santos alves,0.25,0.27,0.33,0.38
3,fagner dias araruna,uberlandio batista severo,fagner dias araruna,uberlandio batista severo,0.45,0.32,0.45,0.32
4,joao marcos bezerra do o,uberlandio batista severo,joao marcos bezerra do o,uberlandio batista severo,0.45,0.21,0.45,0.21
5,hemilio fernandes campos coelho,ana flavia uzeda dos santos macambira,eufrasio de andrade lima neto,hemilio fernandes campos coelho,0.27,0.15,0.19,0.27
6,tatiene correia de souza,hemilio fernandes campos coelho,hemilio fernandes campos coelho,ana flavia uzeda dos santos macambira,0.19,0.21,0.21,0.19
7,eufrasio de andrade lima neto,ana flavia uzeda dos santos macambira,tatiene correia de souza,ana flavia uzeda dos santos macambira,0.21,0.28,0.27,0.28
8,tatiene correia de souza,ana flavia uzeda dos santos macambira,eufrasio de andrade lima neto,hemilio fernandes campos coelho,0.06,0.09,0.45,0.27
9,tatiene correia de souza,ana flavia uzeda dos santos macambira,tatiene correia de souza,eufrasio de andrade lima neto,0.36,0.26,0.36,0.35
10,alisson vasconcelos de brito,ed porto bezerra,alisson vasconcelos de brito,iguatemi eduardo da fonseca,0.53,0.24,0.53,0.38
11,leonardo vidal batista,danielle rousy dias da silva,clauirton de albuquerque siebra,ayla debora dantas de souza reboucas,0.29,0.35,0.37,0.36
12,ayla debora dantas de souza reboucas,leonardo vidal batista,natasha correia queiroz lino,leonardo vidal batista,0.23,0.39,0.29,0.39
13,ayla debora dantas de souza reboucas,danielle rousy dias da silva,natasha correia queiroz lino,leonardo vidal batista,0.13,0.26,0.37,0.39
14,leonardo vidal batista,danielle rousy dias da silva,natasha correia queiroz lino,leonardo vidal batista,0.35,0.3,0.36,0.35
15,natasha correia queiroz lino,clauirton de albuquerque siebra,clauirton de albuquerque siebra,danielle rousy dias da silva,0.29,0.39,0.39,0.33
16,natasha correia queiroz lino,clauirton de albuquerque siebra,clauirton de albuquerque siebra,ayla debora dantas de souza reboucas,0.18,0.39,0.39,0.35
17,liliane dos santos machado,ed porto bezerra,alexandre nobrega duarte,tiago maritan ugulino de araujo,0.18,0.17,0.53,0.39
18,alexandre nobrega duarte,ed porto bezerra,jose marcilio filgueiras cruz,liliane dos santos machado,0.23,0.44,0.41,0.36
19,alexandre nobrega duarte,ed porto bezerra,alisson vasconcelos de brito,jose marcilio filgueiras cruz,0.29,0.32,0.39,0.45
20,tiago maritan ugulino de araujo,iguatemi eduardo da fonseca,tiago maritan ugulino de araujo,iguatemi eduardo da fonseca,0.45,0.41,0.45,0.41
21,alisson vasconcelos de brito,tiago maritan ugulino de araujo,tiago maritan ugulino de araujo,jose marcilio filgueiras cruz,0.18,0.36,0.36,0.33
22,alexandre nobrega duarte,tiago maritan ugulino de araujo,alexandre nobrega duarte,jose marcilio filgueiras cruz,0.38,0.25,0.38,0.41
23,hugo leonardo davi de souza cavalcante,rodrigo ronelli duarte de andrade,carlos antonio de sousa pires,rodrigo ronelli duarte de andrade,0.25,0.31,0.38,0.31
24,eugenio ramos bezerra de melo,dionisio bazeia filho,eugenio ramos bezerra de melo,carlos antonio de sousa pires,0.65,0.34,0.65,0.61
25,dionisio bazeia filho,laercio losano,paulo sergio rodrigues da silva,carlos antonio de sousa pires,0.31,0.4,0.65,0.51
26,eugenio ramos bezerra de melo,carlos antonio de sousa pires,paulo sergio rodrigues da silva,laercio losano,0.26,0.21,0.29,0.33
27,paulo sergio rodrigues da silva,eugenio ramos bezerra de melo,paulo sergio rodrigues da silva,eugenio ramos bezerra de melo,0.61,0.51,0.61,0.51
28,paulo sergio rodrigues da silva,dionisio bazeia filho,paulo sergio rodrigues da silva,dionisio bazeia filho,0.45,0.37,0.45,0.37
29,marcos cesar santos oria,martine patricia arltte chevroller,martine patricia arltte chevroller,jorge gabriel gomes de souza ramos,0.36,0.45,0.45,0.45
30,marcos cesar santos oria,thierry marcelino passerat de silans,eugenio ramos bezerra de melo,thierry marcelino passerat de silans,0.28,0.45,0.51,0.45
